country,year,donors,pop,pop_dens,gdp,gdp_lag,health,health_lag,pubhealth,roads,cerebvas,assault,external,txp_pop,world,opt,consent_law,consent_practice,consistent,ccode
Australia,,,17065.0,0.220443289300653,16774.0,16591,1300.0,1224.0,4.8,136.595370641664,682.0,21.0,444.0,0.937591561675945,Liberal,In,Informed,Informed,Yes,Oz
Australia,1991-01-01,12.09,17284.0,0.223272300748461,17171.0,16774,1379.0,1300.0,5.4,122.251793566304,647.0,19.0,425.0,0.925711640823883,Liberal,In,Informed,Informed,Yes,Oz
Australia,1992-01-01,12.35,17495.0,0.225997969312331,17914.0,17171,1455.0,1379.0,5.4,112.832237782224,630.0,17.0,406.0,0.914547013432409,Liberal,In,Informed,Informed,Yes,Oz
Australia,1993-01-01,12.51,17667.0,0.228219841317002,18883.0,17914,1540.0,1455.0,5.4,110.545084055018,611.0,18.0,376.0,0.90564328974925,Liberal,In,Informed,Informed,Yes,Oz
Australia,1994-01-01,10.25,17855.0,0.230648399089549,19849.0,18883,1626.0,1540.0,5.4,107.980957714926,631.0,17.0,387.0,0.896107532903948,Liberal,In,Informed,Informed,Yes,Oz
Australia,1995-01-01,10.18,18072.0,0.233451574816373,21079.0,19849,1737.0,1626.0,5.5,111.609119079239,592.0,16.0,371.0,0.885347498893316,Liberal,In,Informed,Informed,Yes,Oz
Australia,1996-01-01,10.59,18311.0,0.236538943474026,21923.0,21079,1846.0,1737.0,5.6,107.585604281579,576.0,17.0,395.0,0.873791709901152,Liberal,In,Informed,Informed,Yes,Oz
Australia,1997-01-01,10.26,18518.0,0.239212940595927,22961.0,21923,1948.0,1846.0,5.7,95.4206717788098,525.0,17.0,385.0,0.864024192677395,Liberal,In,Informed,Informed,Yes,Oz
Australia,1998-01-01,10.48,18711.0,0.241706087670936,24148.0,22961,2077.0,1948.0,5.9,93.7950937950938,516.0,16.0,410.0,0.855111966223077,Liberal,In,Informed,Informed,Yes,Oz
Australia,1999-01-01,8.67,18926.0,0.244483427676774,25445.0,24148,2231.0,2077.0,6.1,93.2051146570855,493.0,15.0,409.0,0.84539786537039,Liberal,In,Informed,Informed,Yes,Oz
Australia,2000-01-01,10.23,19153.0,0.247415782008521,26545.0,25445,2379.0,2231.0,6.2,94.8676447553908,474.0,16.0,393.0,0.835378269722759,Liberal,In,Informed,Informed,Yes,Oz
Australia,2001-01-01,9.53,19413.0,0.250774425736512,27461.0,26545,2504.0,2379.0,6.2,89.4761242466388,449.0,15.0,367.0,0.824189975789419,Liberal,In,Informed,Informed,Yes,Oz
Australia,2002-01-01,10.48,19663.0,0.25400389085958,28168.0,27461,2629.0,2504.0,6.2,87.2196511213955,424.0,14.0,341.0,0.813711030870162,Liberal,In,Informed,Informed,Yes,Oz
Australia,,,,,,28168,2754.0,2629.0,,,,,,,Liberal,In,Informed,Informed,Yes,Oz
Austria,,,7678.0,9.15573575005962,18914.0,17425,1344.0,1255.0,5.2,202.917426413128,953.0,16.0,614.0,0.651211252930451,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1991-01-01,27.6,7755.0,9.24755544955879,19860.0,18914,1419.0,1344.0,5.2,200.0,942.0,12.0,590.0,0.644745325596389,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1992-01-01,23.1,7841.0,9.35010732172669,20601.0,19860,1551.0,1419.0,5.5,178.931258768014,880.0,14.0,549.0,0.637673766101263,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1993-01-01,26.2,7906.0,9.42761745766754,21119.0,20601,1674.0,1551.0,5.9,162.28181128257,828.0,13.0,551.0,0.632431065013913,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1994-01-01,21.4,7936.0,9.46339136656332,21940.0,21119,1739.0,1674.0,5.9,168.598790322581,803.0,11.0,561.0,0.630040322580645,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1995-01-01,21.5,7948.0,9.47770093012163,22817.0,21940,1865.0,1739.0,5.8,152.239557121288,774.0,10.0,527.0,0.629089079013588,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1996-01-01,24.7,7959.0,9.49081803005008,23798.0,22817,1986.0,1865.0,5.8,129.036311094359,801.0,11.0,499.0,0.628219625581103,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1997-01-01,19.5,7968.0,9.50155020271882,24364.0,23798,1848.0,1986.0,5.3,138.679718875502,770.0,9.0,470.0,0.627510040160643,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1998-01-01,20.7,7977.0,9.51228237538755,25423.0,24364,1953.0,1848.0,5.4,120.722075968409,732.0,11.0,439.0,0.626802055910743,Corporatist,Out,Presumed,Presumed,Yes,Aus
